TransactionNo,Items,DateTime
40,Coffee,2016-10-30 11:55:51
40,Muffin,2016-10-30 11:55:51
41,Scandinavian,2016-10-30 11:57:06
42,Bread,2016-10-30 11:57:45
42,Tea,2016-10-30 11:57:45
43,Scandinavian,2016-10-30 12:00:22
43,Fudge,2016-10-30 12:00:22
44,Coffee,2016-10-30 12:05:47
44,Medialuna,2016-10-30 12:05:47
45,Coffee,2016-10-30 12:08:36
45,Hot chocolate,2016-10-30 12:08:36
45,Medialuna,2016-10-30 12:08:36
46,Coffee,2016-10-30 12:09:04
47,Ella's Kitchen Pouches,2016-10-30 12:15:29
47,Juice,2016-10-30 12:15:29
47,Bread,2016-10-30 12:15:29
47,Muffin,2016-10-30 12:15:29
47,Jam,2016-10-30 12:15:29
48,Coffee,2016-10-30 12:17:02
49,Coffee,2016-10-30 12:23:01
49,Coffee,2016-10-30 12:23:01
49,Medialuna,2016-10-30 12:23:01
50,Bread,2016-10-30 12:25:11
50,Victorian Sponge,2016-10-30 12:25:11
51,Bread,2016-10-30 12:26:58
52,Scandinavian,2016-10-30 12:28:07
54,Bread,2016-10-30 12:33:08
55,Frittata,2016-10-30 12:38:06
55,Coffee,2016-10-30 12:38:06
55,Tea,2016-10-30 12:38:06
55,Hearty & Seasonal,2016-10-30 12:38:06
56,Coffee,2016-10-30 12:39:27
56,Frittata,2016-10-30 12:39:27
57,Scandinavian,2016-10-30 12:45:48
58,Victorian Sponge,2016-10-30 12:59:29
58,Hot chocolate,2016-10-30 12:59:29
58,Tea,2016-10-30 12:59:29
58,Soup,2016-10-30 12:59:29
59,Tea,2016-10-30 13:02:04
60,Cookies,2016-10-30 13:14:04
60,Coffee,2016-10-30 13:14:04
60,Juice,2016-10-30 13:14:04
60,Coffee,2016-10-30 13:14:04
61,Coffee,2016-10-30 13:15:38
62,Pick and Mix Bowls,2016-10-30 13:24:00
62,Hearty & Seasonal,2016-10-30 13:24:00
62,Hearty & Seasonal,2016-10-30 13:24:00
62,Coffee,2016-10-30 13:24:00
62,Smoothies,2016-10-30 13:24:00
62,Coffee,2016-10-30 13:24:00
63,Coffee,2016-10-30 13:33:12
64,Cake,2016-10-30 13:34:07
65,Tartine,2016-10-30 13:37:25
65,Mighty Protein,2016-10-30 13:37:25
65,Tea,2016-10-30 13:37:25
65,Coffee,2016-10-30 13:37:25
66,Hearty & Seasonal,2016-10-30 13:40:20
66,Frittata,2016-10-30 13:40:20
66,Mineral water,2016-10-30 13:40:20
67,Hearty & Seasonal,2016-10-30 13:46:48
67,Mineral water,2016-10-30 13:46:48
67,Muffin,2016-10-30 13:46:48
68,Frittata,2016-10-30 13:49:36
68,Coffee,2016-10-30 13:49:36
68,Tea,2016-10-30 13:49:36
68,Scandinavian,2016-10-30 13:49:36
68,Chicken sand,2016-10-30 13:49:36
69,Bread,2016-10-30 13:51:49
69,Tea,2016-10-30 13:51:49
69,Victorian Sponge,2016-10-30 13:51:49
70,Fudge,2016-10-30 13:54:42
71,Muffin,2016-10-30 13:56:08
72,Coffee,2016-10-30 14:21:38
72,Bread,2016-10-30 14:21:38
73,Bread,2016-10-30 14:22:39
74,Coffee,2016-10-30 14:24:03
74,Bread,2016-10-30 14:24:03
75,Jam,2016-10-30 14:32:26
75,Frittata,2016-10-30 14:32:26
76,Coffee,2016-10-30 14:32:49
77,Scandinavian,2016-10-30 14:35:36
78,Fudge,2016-10-30 14:42:29
79,Fudge,2016-10-30 14:45:44
79,Tea,2016-10-30 14:45:44
79,Coffee,2016-10-30 14:45:44
79,Muffin,2016-10-30 14:45:44
80,Frittata,2016-10-30 14:48:40
80,Bread,2016-10-30 14:48:40
80,Coffee,2016-10-30 14:48:40
81,Coffee,2016-10-31 08:28:31
81,Cake,2016-10-31 08:28:31
82,Tartine,2016-10-31 08:47:05
82,Bread,2016-10-31 08:47:05
83,Coffee,2016-10-31 08:57:47
83,Bread,2016-10-31 08:57:47
84,Bread,2016-10-31 09:04:06
85,Coffee,2016-10-31 09:10:09
85,Coffee,2016-10-31 09:10:09
85,Pastry,2016-10-31 09:10:09
85,Medialuna,2016-10-31 09:10:09
86,Juice,2016-10-31 09:11:08
87,Bread,2016-10-31 09:12:56
88,Coffee,2016-10-31 09:16:01
88,Coffee,2016-10-31 09:16:01
88,Jam,2016-10-31 09:16:01
89,Bread,2016-10-31 09:19:41
90,Bread,2016-10-31 09:20:12
90,Coffee,2016-10-31 09:20:12
91,Tea,2016-10-31 09:22:48
92,Coffee,2016-10-31 09:27:11
93,Bread,2016-10-31 09:29:23
93,Coke,2016-10-31 09:29:23
94,Coffee,2016-10-31 09:39:09
94,Coffee,2016-10-31 09:39:09
95,Tea,2016-10-31 09:43:37
95,Pastry,2016-10-31 09:43:37
95,Farm House,2016-10-31 09:43:37
96,Pastry,2016-10-31 09:46:48
96,Pastry,2016-10-31 09:46:48
96,Coffee,2016-10-31 09:46:48
96,Juice,2016-10-31 09:46:48
97,Coffee,2016-10-31 09:51:11
97,Pastry,2016-10-31 09:51:11
97,Juice,2016-10-31 09:51:11
98,Farm House,2016-10-31 09:52:22
99,Pastry,2016-10-31 09:56:37
99,Pastry,2016-10-31 09:56:37
99,Coffee,2016-10-31 09:56:37
99,Bread,2016-10-31 09:56:37
100,Bread,2016-10-31 09:58:06
101,Coffee,2016-10-31 10:04:02
101,Pastry,2016-10-31 10:04:02
102,Farm House,2016-10-31 10:04:44
103,Bread,2016-10-31 10:07:40
104,Coffee,2016-10-31 10:12:48
104,Coffee,2016-10-31 10:12:48
104,Medialuna,2016-10-31 10:12:48
104,Muffin,2016-10-31 10:12:48
104,Coffee,2016-10-31 10:12:48
105,Coffee,2016-10-31 10:21:29
105,Tea,2016-10-31 10:21:29
105,Cake,2016-10-31 10:21:29
106,Coffee,2016-10-31 10:24:21
106,Coffee,2016-10-31 10:24:21
106,Pastry,2016-10-31 10:24:21
106,Pastry,2016-10-31 10:24:21
107,Coffee,2016-10-31 10:27:30
107,Tea,2016-10-31 10:27:30
108,Farm House,2016-10-31 10:31:05
108,Muffin,2016-10-31 10:31:05
109,Bread,2016-10-31 10:35:23
109,Muffin,2016-10-31 10:35:23
109,Pastry,2016-10-31 10:35:23
110,Pastry,2016-10-31 10:36:37
111,Coffee,2016-10-31 10:38:09
112,Coffee,2016-10-31 10:59:17
113,Coffee,2016-10-31 11:02:37
113,Cake,2016-10-31 11:02:37
114,Farm House,2016-10-31 11:05:45
115,Bread,2016-10-31 11:08:53
116,Coffee,2016-10-31 11:11:01
117,Cookies,2016-10-31 11:13:08
117,Cake,2016-10-31 11:13:08
117,Coffee,2016-10-31 11:13:08
117,My-5 Fruit Shoot,2016-10-31 11:13:08
118,Cookies,2016-10-31 11:18:29
118,Cookies,2016-10-31 11:18:29
118,Tea,2016-10-31 11:18:29
118,Pastry,2016-10-31 11:18:29
119,Coffee,2016-10-31 11:25:56
119,Coffee,2016-10-31 11:25:56
119,Muffin,2016-10-31 11:25:56
120,Farm House,2016-10-31 11:29:01
121,Coffee,2016-10-31 11:30:59
121,Bread,2016-10-31 11:30:59
122,Cookies,2016-10-31 11:37:30
123,Jam,2016-10-31 11:42:05
123,Coffee,2016-10-31 11:42:05
123,Coffee,2016-10-31 11:42:05
123,Juice,2016-10-31 11:42:05
124,Coffee,2016-10-31 11:43:10
124,Soup,2016-10-31 11:43:10
125,Tea,2016-10-31 11:47:18
126,Coffee,2016-10-31 11:52:43
126,Jam,2016-10-31 11:52:43
127,Farm House,2016-10-31 11:53:11
128,Tartine,2016-10-31 11:55:00
128,Coffee,2016-10-31 11:55:00
128,Tea,2016-10-31 11:55:00
129,Coffee,2016-10-31 11:59:23
129,Coffee,2016-10-31 11:59:23
129,Cake,2016-10-31 11:59:23
130,Coffee,2016-10-31 12:03:12
130,Coffee,2016-10-31 12:03:12
130,Muffin,2016-10-31 12:03:12
131,Bread,2016-10-31 12:08:28
131,Coffee,2016-10-31 12:08:28
132,Tea,2016-10-31 12:14:20
132,Juice,2016-10-31 12:14:20
132,Pick and Mix Bowls,2016-10-31 12:14:20
132,Cookies,2016-10-31 12:14:20
133,Hearty & Seasonal,2016-10-31 12:16:32
133,Soup,2016-10-31 12:16:32
134,Hearty & Seasonal,2016-10-31 12:19:37
134,Tea,2016-10-31 12:19:37
134,Farm House,2016-10-31 12:19:37
135,Bread,2016-10-31 12:20:21
136,Tea,2016-10-31 12:27:41
136,Soup,2016-10-31 12:27:41
137,Farm House,2016-10-31 12:37:07
138,Soup,2016-10-31 12:43:35
138,Hearty & Seasonal,2016-10-31 12:43:35
138,Coffee,2016-10-31 12:43:35
139,Bread,2016-10-31 12:50:57
139,Muffin,2016-10-31 12:50:57
139,Hearty & Seasonal,2016-10-31 12:50:57
140,Coffee,2016-10-31 12:53:33
140,Coffee,2016-10-31 12:53:33
140,Cookies,2016-10-31 12:53:33
141,Bread,2016-10-31 12:54:28
142,Tea,2016-10-31 12:56:47
142,Muffin,2016-10-31 12:56:47
143,Tea,2016-10-31 12:59:08
144,Soup,2016-10-31 13:02:11
144,Hearty & Seasonal,2016-10-31 13:02:11
145,Coffee,2016-10-31 13:05:49
145,Tea,2016-10-31 13:05:49
145,Focaccia,2016-10-31 13:05:49
146,Sandwich,2016-10-31 13:08:30
147,Tartine,2016-10-31 13:09:31
147,Coffee,2016-10-31 13:09:31
148,Fudge,2016-10-31 13:21:17
148,Coffee,2016-10-31 13:21:17
148,Coffee,2016-10-31 13:21:17
149,Coffee,2016-10-31 13:26:03
150,Bread,2016-10-31 13:31:33
151,Coke,2016-10-31 13:50:17
151,Soup,2016-10-31 13:50:17
152,Muffin,2016-10-31 13:51:18
153,Tea,2016-10-31 13:55:22
153,Coffee,2016-10-31 13:55:22
153,Cookies,2016-10-31 13:55:22
153,Muffin,2016-10-31 13:55:22
154,Mighty Protein,2016-10-31 14:00:21
154,Hearty & Seasonal,2016-10-31 14:00:21
154,Coffee,2016-10-31 14:00:21
154,Coke,2016-10-31 14:00:21
155,Tea,2016-10-31 14:01:30
155,Muffin,2016-10-31 14:01:30
155,Sandwich,2016-10-31 14:01:30
156,Coffee,2016-10-31 14:04:16
156,Muffin,2016-10-31 14:04:16
157,Coffee,2016-10-31 14:05:07
157,Bread,2016-10-31 14:05:07
158,Coffee,2016-10-31 14:20:29
158,Muffin,2016-10-31 14:20:29
159,Bread,2016-10-31 14:22:31
159,Hot chocolate,2016-10-31 14:22:31
159,Cookies,2016-10-31 14:22:31
160,Mineral water,2016-10-31 14:35:27
160,Muffin,2016-10-31 14:35:27
161,Tea,2016-10-31 14:42:34
162,Muffin,2016-10-31 14:44:48
163,Coffee,2016-10-31 14:47:16
163,Juice,2016-10-31 14:47:16
164,Coffee,2016-10-31 14:47:36
164,Muffin,2016-10-31 14:47:36
165,Tea,2016-10-31 14:48:49
166,Coffee,2016-10-31 14:49:28
166,Muffin,2016-10-31 14:49:28
167,Sandwich,2016-10-31 14:50:42
167,Hearty & Seasonal,2016-10-31 14:50:42
167,Bread,2016-10-31 14:50:42
167,Mineral water,2016-10-31 14:50:42
168,Tea,2016-10-31 14:56:25
168,Coffee,2016-10-31 14:56:25
169,Mineral water,2016-10-31 15:05:17
170,Coffee,2016-10-31 15:16:49
171,Soup,2016-10-31 15:20:16
171,Tea,2016-10-31 15:20:16
172,Bread,2016-10-31 17:06:47
172,Coffee,2016-10-31 17:06:47
173,Bread,2016-10-31 17:08:09
173,Muffin,2016-10-31 17:08:09
174,Coffee,2016-10-31 17:40:21
175,Bread,2016-10-31 17:49:42
176,Cookies,2016-10-31 18:22:24
176,Coffee,2016-10-31 18:22:24
178,Coffee,2016-01-11 07:51:20
178,Pastry,2016-01-11 07:51:20
179,Coffee,2016-01-11 08:20:50
179,Pastry,2016-01-11 08:20:50
180,Jam,2016-01-11 08:22:28
180,Tea,2016-01-11 08:22:28
181,Tea,2016-01-11 08:45:20
181,Tea,2016-01-11 08:45:20
182,Pastry,2016-01-11 09:07:47
182,Pastry,2016-01-11 09:07:47
182,Ella's Kitchen Pouches,2016-01-11 09:07:47
183,Pastry,2016-01-11 09:09:26
184,Farm House,2016-01-11 09:26:03
184,Tea,2016-01-11 09:26:03
185,Tea,2016-01-11 09:29:25
185,Victorian Sponge,2016-01-11 09:29:25
186,Tea,2016-01-11 09:43:13
186,Pastry,2016-01-11 09:43:13
187,Bread,2016-01-11 10:02:27
188,Coffee,2016-01-11 10:04:05
189,Bread,2016-01-11 10:29:02
189,Coffee,2016-01-11 10:29:02
190,Coffee,2016-01-11 10:34:53
190,Pastry,2016-01-11 10:34:53
190,Pastry,2016-01-11 10:34:53
191,Soup,2016-01-11 10:50:50
191,Tea,2016-01-11 10:50:50
192,Bread,2016-01-11 10:56:08
193,Coffee,2016-01-11 11:00:48
194,Bread,2016-01-11 11:04:36
194,Bread,2016-01-11 11:04:36
195,Bread,2016-01-11 11:06:09
195,Scandinavian,2016-01-11 11:06:09
196,Bread,2016-01-11 11:08:18
196,Cake,2016-01-11 11:08:18
196,Cookies,2016-01-11 11:08:18
197,Coffee,2016-01-11 11:10:11
197,Coffee,2016-01-11 11:10:11
197,Tea,2016-01-11 11:10:11
198,Coffee,2016-01-11 11:11:58
198,Cookies,2016-01-11 11:11:58
199,Coffee,2016-01-11 11:13:20
200,Bread,2016-01-11 11:16:30
201,Coffee,2016-01-11 11:22:36
201,Pastry,2016-01-11 11:22:36
202,Coffee,2016-01-11 11:23:19
202,Coffee,2016-01-11 11:23:19
203,Coffee,2016-01-11 11:25:53
204,Scandinavian,2016-01-11 11:30:00
204,Bread,2016-01-11 11:30:00
205,Coffee,2016-01-11 11:49:31
205,Coffee,2016-01-11 11:49:31
205,Pastry,2016-01-11 11:49:31
206,Scandinavian,2016-01-11 11:54:17
206,Coffee,2016-01-11 11:54:17
206,Pastry,2016-01-11 11:54:17
207,Hearty & Seasonal,2016-01-11 12:03:37
207,Coffee,2016-01-11 12:03:37
207,Muffin,2016-01-11 12:03:37
208,Bread,2016-01-11 12:10:09
209,Coffee,2016-01-11 12:10:38
210,Scandinavian,2016-01-11 12:12:26
211,Soup,2016-01-11 12:15:36
211,Coffee,2016-01-11 12:15:36
212,Coffee,2016-01-11 12:20:30
212,Cookies,2016-01-11 12:20:30
212,Tartine,2016-01-11 12:20:30
213,Bread,2016-01-11 12:22:04
214,Bread,2016-01-11 12:26:43
214,Tea,2016-01-11 12:26:43
214,Tea,2016-01-11 12:26:43
215,Pastry,2016-01-11 12:30:30
215,Coffee,2016-01-11 12:30:30
216,Tartine,2016-01-11 12:31:30
216,Coffee,2016-01-11 12:31:30
217,Bread,2016-01-11 12:33:31
217,Cookies,2016-01-11 12:33:31
218,Sandwich,2016-01-11 12:37:29
219,Tartine,2016-01-11 12:41:16
220,Bread,2016-01-11 12:49:16
220,Pastry,2016-01-11 12:49:16
221,Bread,2016-01-11 12:53:18
221,Scandinavian,2016-01-11 12:53:18
222,Scandinavian,2016-01-11 13:08:46
223,Alfajores,2016-01-11 13:11:34
223,Coffee,2016-01-11 13:11:34
224,Coffee,2016-01-11 13:15:08
225,Coffee,2016-01-11 13:19:00
225,Coke,2016-01-11 13:19:00
225,Soup,2016-01-11 13:19:00
226,Cake,2016-01-11 13:21:52
227,Tea,2016-01-11 13:31:35
227,Sandwich,2016-01-11 13:31:35
227,Soup,2016-01-11 13:31:35
228,Coffee,2016-01-11 13:33:54
229,Hearty & Seasonal,2016-01-11 13:37:48
229,Bread,2016-01-11 13:37:48
230,Alfajores,2016-01-11 13:41:53
231,Cake,2016-01-11 13:45:21
232,Tea,2016-01-11 14:10:03
232,Tea,2016-01-11 14:10:03
232,Bread,2016-01-11 14:10:03
233,Coffee,2016-01-11 14:13:26
233,Tea,2016-01-11 14:13:26
233,Bread,2016-01-11 14:13:26
233,Soup,2016-01-11 14:13:26
234,Coffee,2016-01-11 14:14:01
234,Coffee,2016-01-11 14:14:01
235,Scandinavian,2016-01-11 14:18:52
236,Fudge,2016-01-11 14:22:07
237,Coffee,2016-01-11 14:25:14
237,Sandwich,2016-01-11 14:25:14
238,Tea,2016-01-11 14:37:16
238,Bread,2016-01-11 14:37:16
238,Cookies,2016-01-11 14:37:16
238,Pastry,2016-01-11 14:37:16
239,Muffin,2016-01-11 14:37:26
240,Scandinavian,2016-01-11 14:42:31
241,Jam,2016-01-11 14:54:33
241,Tea,2016-01-11 14:54:33
242,Juice,2016-01-11 15:02:23
242,Tea,2016-01-11 15:02:23
242,Alfajores,2016-01-11 15:02:23
243,Cake,2016-01-11 15:18:43
243,Muffin,2016-01-11 15:18:43
243,Coffee,2016-01-11 15:18:43
243,Soup,2016-01-11 15:18:43
244,Hot chocolate,2016-01-11 15:33:18
244,Cake,2016-01-11 15:33:18
244,Coffee,2016-01-11 15:33:18
245,Cake,2016-01-11 15:37:30
245,Cookies,2016-01-11 15:37:30
246,Tea,2016-01-11 15:48:44
246,Bread,2016-01-11 15:48:44
247,Alfajores,2016-01-11 16:07:11
247,Coffee,2016-01-11 16:07:11
247,Coffee,2016-01-11 16:07:11
247,Coffee,2016-01-11 16:07:11
247,Juice,2016-01-11 16:07:11
248,Coffee,2016-01-11 16:08:22
248,Tea,2016-01-11 16:08:22
248,Soup,2016-01-11 16:08:22
249,Hot chocolate,2016-01-11 16:10:03
250,Cookies,2016-01-11 16:10:42
251,Coffee,2016-01-11 16:26:55
251,Medialuna,2016-01-11 16:26:55
252,Bread,2016-01-11 16:28:57
252,Eggs,2016-01-11 16:28:57
253,Scandinavian,2016-01-11 17:46:13
254,Medialuna,2016-01-11 18:43:55
255,Coffee,2016-02-11 08:02:20
255,Coffee,2016-02-11 08:02:20
255,Pastry,2016-02-11 08:02:20
256,Coffee,2016-02-11 08:05:03
256,Bread,2016-02-11 08:05:03
257,Bread,2016-02-11 08:07:05
257,Coffee,2016-02-11 08:07:05
257,Pastry,2016-02-11 08:07:05
258,Coffee,2016-02-11 08:08:45
258,Pastry,2016-02-11 08:08:45
259,Pastry,2016-02-11 08:11:35
260,Coffee,2016-02-11 08:12:03
261,Coffee,2016-02-11 08:12:51
262,Coffee,2016-02-11 08:29:04
262,Hot chocolate,2016-02-11 08:29:04
262,Pastry,2016-02-11 08:29:04
263,Coke,2016-02-11 08:53:32
264,Coffee,2016-02-11 09:02:24
264,Jam,2016-02-11 09:02:24
265,Tea,2016-02-11 09:03:13
266,Bread,2016-02-11 09:05:25
266,Pastry,2016-02-11 09:05:25
267,Coffee,2016-02-11 09:18:53
267,Alfajores,2016-02-11 09:18:53
267,Farm House,2016-02-11 09:18:53
268,Tea,2016-02-11 09:22:47
268,Pastry,2016-02-11 09:22:47
269,Bread,2016-02-11 09:25:31
270,Coffee,2016-02-11 09:27:58
270,Jam,2016-02-11 09:27:58
271,Coffee,2016-02-11 09:33:47
271,Tea,2016-02-11 09:33:47
271,Coffee,2016-02-11 09:33:47
271,Pastry,2016-02-11 09:33:47
272,Farm House,2016-02-11 09:35:10
274,Coffee,2016-02-11 09:52:58
274,Bread,2016-02-11 09:52:58
274,Pastry,2016-02-11 09:52:58
275,Farm House,2016-02-11 09:53:28
276,Coffee,2016-02-11 09:54:47
276,Coffee,2016-02-11 09:54:47
276,Pastry,2016-02-11 09:54:47
277,Farm House,2016-02-11 10:12:15
278,Coffee,2016-02-11 10:13:27
278,Pastry,2016-02-11 10:13:27
279,Coffee,2016-02-11 10:15:48
280,Coffee,2016-02-11 10:17:22
280,Pastry,2016-02-11 10:17:22
281,Bread,2016-02-11 10:29:56
281,Bread,2016-02-11 10:29:56
282,Bread,2016-02-11 10:37:45
282,Coffee,2016-02-11 10:37:45
282,Pastry,2016-02-11 10:37:45
283,Pastry,2016-02-11 10:44:50
283,Coffee,2016-02-11 10:44:50
284,Coffee,2016-02-11 10:48:08
284,Farm House,2016-02-11 10:48:08
285,Farm House,2016-02-11 10:52:20
285,Farm House,2016-02-11 10:52:20
285,Pastry,2016-02-11 10:52:20
286,Bread,2016-02-11 10:53:48
286,Juice,2016-02-11 10:53:48
286,Alfajores,2016-02-11 10:53:48
287,Coffee,2016-02-11 10:56:40
287,Pastry,2016-02-11 10:56:40
288,Bread,2016-02-11 10:59:16
288,Alfajores,2016-02-11 10:59:16
289,Bread,2016-02-11 11:00:57
290,Coffee,2016-02-11 11:03:49
290,Cookies,2016-02-11 11:03:49
291,Coffee,2016-02-11 11:04:47
292,Cookies,2016-02-11 11:15:13
293,Hearty & Seasonal,2016-02-11 11:29:15
294,Coffee,2016-02-11 11:35:36
295,Jam,2016-02-11 11:39:45
295,Tartine,2016-02-11 11:39:45
295,Bread,2016-02-11 11:39:45
296,Farm House,2016-02-11 11:58:42
296,Scandinavian,2016-02-11 11:58:42
297,Hearty & Seasonal,2016-02-11 12:06:51
297,Coffee,2016-02-11 12:06:51
297,Muffin,2016-02-11 12:06:51
297,Scandinavian,2016-02-11 12:06:51
298,Tartine,2016-02-11 12:11:56
298,Pick and Mix Bowls,2016-02-11 12:11:56
298,Coffee,2016-02-11 12:11:56
298,Coke,2016-02-11 12:11:56
299,Bread,2016-02-11 12:14:15
300,Scandinavian,2016-02-11 12:18:15
300,Farm House,2016-02-11 12:18:15
300,Alfajores,2016-02-11 12:18:15
300,Coffee,2016-02-11 12:18:15
300,Coffee,2016-02-11 12:18:15
301,Juice,2016-02-11 12:24:06
301,Mineral water,2016-02-11 12:24:06
301,Soup,2016-02-11 12:24:06
302,Soup,2016-02-11 12:27:31
302,Tea,2016-02-11 12:27:31
303,Juice,2016-02-11 12:30:42
303,Tea,2016-02-11 12:30:42
303,Cookies,2016-02-11 12:30:42
303,Soup,2016-02-11 12:30:42
304,Hearty & Seasonal,2016-02-11 12:33:51
304,Tea,2016-02-11 12:33:51
305,Fudge,2016-02-11 12:35:41
306,Coffee,2016-02-11 12:39:02
306,Mineral water,2016-02-11 12:39:02
306,Juice,2016-02-11 12:39:02
306,Soup,2016-02-11 12:39:02
307,Hearty & Seasonal,2016-02-11 12:52:44
308,Hearty & Seasonal,2016-02-11 12:54:49
308,Smoothies,2016-02-11 12:54:49
309,Hearty & Seasonal,2016-02-11 12:56:40
309,Tea,2016-02-11 12:56:40
310,Coffee,2016-02-11 13:02:57
310,Sandwich,2016-02-11 13:02:57
310,Sandwich,2016-02-11 13:02:57
311,Cookies,2016-02-11 13:09:40
311,Farm House,2016-02-11 13:09:40
312,Soup,2016-02-11 13:11:57
312,Tea,2016-02-11 13:11:57
312,Juice,2016-02-11 13:11:57
313,Soup,2016-02-11 13:12:44
314,Coffee,2016-02-11 13:16:48
316,Bread,2016-02-11 13:23:56
317,Cookies,2016-02-11 13:42:15
317,Tea,2016-02-11 13:42:15
318,Soup,2016-02-11 13:46:42
318,Hearty & Seasonal,2016-02-11 13:46:42
318,Bread,2016-02-11 13:46:42
319,Coffee,2016-02-11 13:50:59
320,Coffee,2016-02-11 13:58:39
321,Coffee,2016-02-11 14:00:37
321,Tea,2016-02-11 14:00:37
322,Bread,2016-02-11 14:01:20
323,Tea,2016-02-11 14:05:20
324,Coffee,2016-02-11 14:11:14
324,Tea,2016-02-11 14:11:14
325,Coffee,2016-02-11 14:11:50
326,Fudge,2016-02-11 14:34:44
327,Tea,2016-02-11 15:03:25
328,Soup,2016-02-11 15:25:57
328,Tea,2016-02-11 15:25:57
329,Juice,2016-02-11 15:33:54
330,Alfajores,2016-02-11 15:46:22
331,Bread,2016-02-11 15:57:42
332,Coffee,2016-02-11 16:25:49
332,Alfajores,2016-02-11 16:25:49
333,Juice,2016-02-11 16:54:35
333,Alfajores,2016-02-11 16:54:35
333,Cookies,2016-02-11 16:54:35
333,Pick and Mix Bowls,2016-02-11 16:54:35
333,Mineral water,2016-02-11 16:54:35
334,Coffee,2016-02-11 17:01:56
334,Alfajores,2016-02-11 17:01:56
335,Fudge,2016-02-11 17:41:01
336,Mighty Protein,2016-02-11 18:08:40
336,Juice,2016-02-11 18:08:40
337,Coffee,2016-02-11 18:13:04
337,Mineral water,2016-02-11 18:13:04
337,Alfajores,2016-02-11 18:13:04
338,Mighty Protein,2016-02-11 18:19:43
338,Coffee,2016-02-11 18:19:43
339,Alfajores,2016-02-11 18:40:02
340,Coffee,2016-03-11 07:46:50
340,Bread,2016-03-11 07:46:50
341,Medialuna,2016-03-11 07:50:50
341,Medialuna,2016-03-11 07:50:50
342,Medialuna,2016-03-11 08:01:08
342,Bread,2016-03-11 08:01:08
343,Farm House,2016-03-11 08:07:16
344,Coffee,2016-03-11 08:08:26
344,Pastry,2016-03-11 08:08:26
345,Farm House,2016-03-11 08:09:59
