review,sentiment
"Получила блузку и ооочень была разочарована, продавец игнорировал мой заказ по расцветке, 
вместо синего цвета положил чёрный, мой ненавистный цвет, ну просто я не люблю черный цвет
в блузках и никогда не заказываю такую расцветку. За такую цену мог бы продавец отнестись более ответственно, конечно на расстоянии не придёшь в магазин и не вернёшь, этим и пользуется продавец. Очень жаль! конечно больше у этого продавца обманщика не буду покупать.
Также не соответствует размерной сетке, заказывала 4XL оказалось по наличии на 3XL/
Полное разочарование.",negative
"Заказ не пришел. Посылка долго висела в одном состоянии, просила продавца подать на розыск, но он не захотел. Деньги вернул Aliexpress по истечении защиты заказа. Заказывала две, жалко(",negative
.,neutral
"Ужас и ещё раз ужас( на мой рост 178 всегда брала вещи и,но тут перестраховалась и взяла л. Так она мне по живот...очень короткая и висит как мешок... ужас(((",negative
ничего не пришло и деньги не вернули,negative
"На картинке смотрится намного лучше, чем в реальности",neutral
"Футболка ни разу не такая, как на фото и дело не в фигуре, с ней все ок. Она короче, рукава не как на картинке, но рисунок яркий. Брала для дома, а не для улицы, поэтому сойдет",neutral
футболка не ахти но дома носить можно и дефект имелся,negative
"Платье хорошего качества. Швы аккуратные. Ткань трикотаж, приятный к телу, хорошо тянется. Вариант не для зимы, тонковато и электризуется. На параметры 89-72-94 село отлично.",positive
на размер s велико параметры 85 60 87,positive
Короткие ,neutral
"Нет и еще раз нет...... как всегда на картинке намного круче, по факту очень короткое, да и в целом выглядит очень дешево",negative
"Заказ не получен. По истечении срока доставки, просила продавца вернуть деньги. Продавец отказался.  Открыла спор. Служба поддержки вернули деньги всю стоимость до копейки. Спасибо.",negative
"На упаковке написано размер xl , по факту прислали как на ребенка. Ткань противная, неприятная к телу. Очень маленький размер.  ",negative
"Как только получила, померяла и сразу пошли две стрелки от ластовицы вверх, к спине. Размер оказался великоват. Надо было брать на размер меньше. С продавцом не общалась.",negative
"Немного не такое, как представляла, но сойдёт",neutral
"Свитер отличный, всё как в описании, ниточки не торчат, неприятного запаха не было, доставка быстрая",positive
очень маленький.Не соответствует размеру,neutral
приехал другой товар,neutral
"Китайцы !!! Такие уроды !!!! В последнее время офигели совсем !!!  Ничего не высылают , хамят в смс и деньги не отправляют ",negative
"Заказ отправлен быстро ,но описание не точное .Ткань будто бумажная ,цвет полосок серый а не чёрный ,по размеру подошёл .Заказывать  больше не стала бы !",neutral
заказ не пришел. номер заказа 504640815458184.,negative
Посылка не пришла денег не вернули ,negative
"Заказом не довольна. Или несоответствие размера( заказывала С, но очень мал) или такая неудобная модель. Края вроде липнут, но быстро отлипают. Носить не буду.",neutral
"заказ ждала с 1 августа.так и не дождалась.продлевали защиту,толку нет.открыла спор,деньги пока не вернули.",negative
"30 р малы на об97. надела, сесть невозможно, берите больше. состав хлопок",neutral
"Заказ просто не пришел, в этом есть  и моя вина, я не успела открыть спор.
Но все таки, за 2 месяца нет посылки, к тому же после того, как заказ покинул страну отправления, отслежка прекратилась.",negative
"Не знаю зачем я ее заказала, валялась долго в корзине, видимо в психозе купила )))) ткань ужасная, прям противная, блестящая.   скорее всего в ней будет жарко. на русский 50, их 2х так, не впритык, но и не сидит красиво. бесполезная трата денег. фу.",negative
"Заказ оформила 12.11, на почте забрала 23.12. Трек отслеживался до момента отправки из Китая, потом тишина. Покупала сестре, на параметры ОГ90, рост 160 размер М сел нормально. Цвет темно-синий оказался с фиолетовым оттенком. Материал не матовый, есть блеск. ",positive
"продавец  отправил мою кофту другому человеку, предоставив неверный код для отслеживания. открыла спор, деньги возвращать не хотел, новый трек не дал, деньги вернул алиэкспресс. не советую",negative
"Заказала данное платье, начитавшись хвалебных отзывов что оно прекрасно.Мне интересно,что вы в нем увидили прекрасного?Платью далеко до сексуального,ладно длина,её укоротить можно, но и то,для 166 очень длинное даже на каблуках,больше подойдёт на рост от 170.Пришло настолько мятое,что я устала его гладить,при этом от пара остаются следы воды и это кошмар,как его отпаривать тогда!!?Доставка почти месяц,тоже писали про мега быструю доставку, но мне ,видимо,не повезло. Швы кривые,на лямках не обработанные.Единственное,что ткань приятная,гладкая.Вырез меня убил,для каких,собственно,тить такой вырез?у меня средняя грудь,но её видно сбоку полностью.Вырез придётся подшивать,низ отрезать. Заказала платье за 850 рублей,обойдётся ещё в 1500 т.р.,если отдавать в ателье.Открыла спор на возврат всей стоимости,продавец согласился вернуть только часть без возврата товара. И да, платье ужасно воняло старьем каким-то. Фу. Не рекомендую товар. Цена платье не больше 500 рублей.",neutral
Товар так и не пришёл !!! Продавец только обещает и все !! Не покупайте у этого продавца прошло более 90 дней но товара так и нет !,negative
"Качество супер!! до Нижнего Новгорода шло месяц, заказ отслеживается теплая, на толстовку буду носить зимой! Спосибо продавцу за подарок, очень приятно!Она не белая, цвет топленого молока!Рекомендую!!",positive
"Рукав узкие,прошит не качественно. Не по размерной сетке ",neutral
Спасибо. Качество отменное. Доставка быстрая. Рекомендую.,positive
"По качеству нет претензий. Но в идеале комплект для стройных нимф, размер 42 максимум чтобы смотрелось как на модели с магазина. На мне смотрится не очень. Покрой у юбки таков что прибавляет объема и линий выпуклых в бедрах. Свитер норм, но для моего роста коротковат. 
Ну, по фото все видно. Мои параметры: 88/68/94-95",positive
"Топ отличный, заказывала у этого продавца и черный, качественные. доставка быстрая. Спасибо!",positive
"Тряпка. Цвет не синий, а обстиранно-сиреневый. Ни за что бы не купила такое жуткое изделие.",negative
"мягкие, теплые и удобные. м - соответствует заявленным измерениям. спасибо)",positive
"Полное несоответствие фото. Тоненькая тряпка,прошито криво,мех лезет и остается на одежде. Открыла спор,вернули часть денег",negative
"платье не пришло, деньги вернули",negative
"товар не пришел. открыла спор, продавец клятвенно обещал что выслал товар, чтобы я подождала еще чуть чуть. но так ничего и не пришло. в итоге ни вещи ни денег!",negative
"Отличная рубашка, покупала с большой скидкой. Продавец - молодец, прислал быстро с отслеживаемым треком. Ткань - хлопок. Пошита качественно, швы идеальные, нитки не торчат. Размер подошёл хорошо, по длине тоже не короткая. Спасибо продавцу за качественный товар)",positive
"На рост 176 см. - мало!
Передний край очень короткий - торчит живот.",negative
"Заказ так и не пришел, время доставки вышло и информация о заказе полностью исчезла.",negative
good,positive
"Платье фигня, что материал, внешне товар не соответствует картинке, воротник другой и в целом вот дешевый такой вариант платья, что лучше бы не брала, хоть даже и за эти деньги. Пришел быстро, размер брала м, подошло на 46. Но не советую т.к хрень хренью))",negative
"Пальто пришло с браком, молния вшита криво на самом видном месте около горла, хотела заказать размер М, решила посоветоваться с продавцом, посоветовал L, это очень большое для меня, у меня размер 44, а это наверное на 48, продавец не знает,. что продает, я отправляла ему свои параметры, что-то заказывать у него больше не буду.",negative
Качество товара оставляет желать лучшего!,negative
Кожа треснула между ног на второй раз ( пришли быстро. Тёплые. Но одноразовые ,negative
"ужасная кофта, цвет грязный, не красивый, мех пртшит как попало, на 44-46 очень большая. выкинутые деньги",negative
все норм,positive
продавец отправил не тот цвет.,neutral
"Платье пришло через две недели,но с браком нет пуговицы на спине,спереди на кружевах небольшая дырка и размер большеват заказывала S на 42,но размер не совпал платье похоже на  размер М",neutral
Свитер пришёл в голубом цвете. Заказывала в светло-сером. ,neutral
синтетика 100% не понравилась!!! цена=качество!!!,neutral
"Цвет как на фото. Присутствует запах, думаю после стирки уйдет. за такую цену рекомендую.",positive
"Товар пришёл вчера, но спор был открыт ранее. Вернули деньги.",negative
"Товар не пришёл, возврата денег до сих пор нет. Не заказывайте у этого продавца",negative
Отсутствует кнопка на одном кармане. Очень широкая. с низу нет стягивающей резинки.,negative
"совершенно не соответствцет картинке, хотела свободные-получила в обтяжку, еще и просвечивает.",neutral
"качество среднее, крой не очень, неправильно сидит...за эту цену конечно не ожидаешь супер , но все таки",neutral
"впринципе хорошая кофточка за такие деньги, но пришла грязной, а так как это было для подарка, то не очень приятно(( потому что придется стирать и будет пахнуть порошком, как будто уже ношеная",neutral
Платье ужасное. Открыла спор. Вернули деньги. Пахло очень сильно . И не выветривается. края рукавов не обработаны. Нитки торчат. швы видно. просто ужас.  Спасибо что вернули средства,negative
"теплая, красивая",positive
"Всё пришло очень быстро (10.07-29.07). Юбка нормальна, но вот шорты маловаты(попа просто не азиатская:3). Брала S, думая, что утону в талии, но нет на талию 63 прям в литую.",positive
"На раз... НЕ рекомендую!
Чз пару дней носки все штаны покрыты катышками и при легком натяжении трещат все нитки.",negative
маленький размер на 46-48 резинка жмет сильно,neutral
"На 46р. взяла 30. Сели довольно плотно, но со временем немного подрастянулись по фигуре. Ещё не стирала, на счёт линьки сказать не могу. Джинсы понравились.",positive
"Кофточка хорошая, но похоже приходит всем один размер, хотя  есть размерная сетка. Хотелось бы чтоб кофточка сидела посвободней, на мой 46 размер она в обтяжку. Она на 42 размер будет отлично. К качеству претензий нет, мягкая пряжа)) ",neutral
"товар не пришел, деньги вернули!",neutral
"Платье очень понравилось, в нескольких местах торчали нитки. Платье получила быстро, недели три где то(Казань)",neutral
немного с запахом а так вроде отличная курточка,positive
На параметры 90-67-91 s мало в плечах и рукавах .. но напялить можно . Берите лучше М . Так как материал вообще не тянется .. ,positive
оч красивая,positive
Все подошло. Цена соответствует качеству.,positive
"Заказала самый большой размер. Девушки продавец обманщик, бедра не больше 110 см, хотя в таблице размеров указано до 145см! Прислал костюм, на нем не указан размер, подойдёт на школьницу.",negative
"то что размер большой это моя вина, но вот длинна, на рост 175 они очень короткие если присесть то до икры поднимаются.  очень не довольна. доставка быстрая",negative
"Заказала 2 штуки одинакового размера, один большой один маленький. ",neutral
I have not received my order.I am very sad.,neutral
"Продавец не хотел возвращать деньги, хотя все сроки доставки истекли. Теперь жду возврата средств по спору.",negative
"мало, хотя блузка с цветочком у того же продавца мне хорошо s",neutral
ужасный пошив. не успела открыть спор. да и все равно сейчас просят вернуть назад. я бы банила за такой брак. реальное дерьмо. не советую.,negative
"Доставка месяц в МО, цвет соответсвует описанию, на российский М взяла XL . в самый раз, только рукава коротковаты. Левый рукав практически без наполнителя.. ткань приятная.",neutral
"сверху вставка отличная , а  внизу  дешёвая тюль для  занавески. носить не буду. вырученные деньги.",negative
"Костюм просто бомба... Ткань приятная,качество пошива хорошее. Шёл месяц,трек отслеживался. ",positive
Так села хорошо только короткие рукава и очень воняет кожаная вставка.,neutral
"Ну это точно не хлопок! В составе его нет вообще, на ощупь как стекловолокно. Продавец, не вводите в заблуждение, в составе нет хлопка! Пошито норм, но ожидала приятнее на ощупь ткань. Пришло очень быстро ",neutral
Продавец не общался,neutral
"Заказала второй раз кофточку,в первый раз пришла,а на этот раз к сожалению она до меня так и не дошла,открыла спор,продавец утверждает,что заказ доставлен,открыла спор,в итоге ничего,так что имейте в виду! ",negative
"свитер синтетика, заказывала s, товар без всяких ярлыков, не s, а м прислали",neutral
"итак, отправка на следующей день, доставили до Ростова-на-Дону за 12 дней. размер подошёл, качество хорошее, плотный трикотаж, пару ниток торчит. я довольна, продавец положил подарок- брелок, упаковано хорошо. рукава и ни 3/4 и ни нормальный....на фото видно. длина (я 164см) попу прикрывает.",positive
маломерка сильно,neutral
"По опесанию не похожа, маленькая куртка, жмёт в грудях!!!",positive
"Точь-в-точь как на картинке. Качество неплохое. На свои объёмы ТО- 70 см, ОБ - 91 см брала размер М. Чуть-чуть свободно в бёдрах и талии, но не критично, можно носить не ушивая. Всё остальное устроило. Заказ пришёл быстро.",positive
"куртка крутая, запах сильный, но стирка + неделя проветривания на балконе и все ок) фурнитура звенит))",positive
Не получила ничего. Деньги не вернули.,negative
Шикарный ,positive
Не соответствует описанию!,negative
С продавцом не общалась. Качество нормальное без торчащих ниток и неровностей. На параметры 91-71-94 подошёл м идеально. Доставка средней скорости ,positive
"Кофта подошла по размеру. Сшита не качественно, торчат нитки и петля с подобией пуговицы застёгивается тяжело.",negative
"куртка вроде хорошая,теплая.  качественно сшита,но шея открыта. А так все понравилось",positive
"Это просто УЖАС.Размер заказала xl а пришло на десятилетнего ребёнка.Зацепка,замок пару раз застегнуть и всё,можно выкинуть.Мне постоянно шлют ерунду,незнаю как хоть другим приходит хорошее.И всё равно заказываю,надеюсь....",negative
"комплект пришел быстро, но он не соответствует фото и описанию. трусы очень большие и не стринги , они просто гигантские",negative
"много уже написано,скажу просто_понравились",positive
"Заказано 11.11.2017- сеодня 09.01.2018. Время доставки товара истекло 5 дней назад, вещь по информации отслеживания ещё не отправлена из Китая. Очень плохой продавец",negative
"Майка хорошая, дефектов не было, только нитки торчали, но это не критично за такую цену. Приехала быстро, посылка отслеживалась. Заказывал s на 42 р немного широкая и коротковата, носить только с вещами на высокой талии придётся ",positive
"платье бомбезное! мне очень понравилось. заказала размер ""s"" на 42-44. подошло идеально. я в восторге:))",positive
"Не очень качественный пошив, местами торчат нитки. Не приятная ткань. На рост 168 коротковатые.",neutral
"колготки очень хорошие, очень мягкие и приятные к телу, дошли примерно за 20 дней, качеством довольна, швы на месте стыков черного и белого ровные",positive
"Пришла посылка очень быстро, за это конечно поставила бы пятерку (за доставку). Сам товар  - качество не очень, внутренние швы большие, и будут натирать руки.",negative
"трусы свиду качественные, мне понравились, буду заказывать еще. Только размер большемерят, на свой М брала S, сели как надо",positive
"В приложении Aliexpress написано, что товар получен, но я ничего не получала. Вероятно, в этом виновата почта. ((",neutral
"Платье великолепно, ОЧЕНЬ быстрая доставка курьером прямо домой. Брала по купону за 300 руб. Выглядит шикарно, даже слишком. Ходить некуда в таком...разве что на супер-пупер праздники..",positive
"I got the size which is small for me and the seller offered to send me the right size if I pay for shipping, but when I agreed the seller completely disappeared and stop replying to any messages.",negative
"отличается от фото все в оптягон все ваши прелести наружу ткань приятна к телу,внутри тепленькая подкладка длина что надо,но ткань подчеркивает все недостатки увы разочарованна носить только под куртку буду размер подошел.xl на русский 50  52 разочарованна отличеем от фото и тканью а так качество норм.",negative
"может мне не повезло... но это платье носить не буду, очень плохое качество. Строчки кривые, собирают ткань...",negative
"заказ поступил через три недели,размер подошёл ,цвет не соответствует (тёмно синего грязного цвета) ,в подарок получила резинку для волос. К сожелению на моей блузке оказалась дырка,но это вина почты ,на пакеты был сделан небольшой надрез ножницами при этом задета сама блузка(посылку забирали не сама,поэтому вернуть её не могу)Предложение упаковывать вещи в более твердую упаковку.",neutral
Шло 2 недели. На русский 46 заказывала XL оказалось велико,neutral
"честно ,набор херня,заказывала его чисто ради невидимок ,так они оказались хрупенькими и очень маленькими. держат волосы не очень",negative
"Очень расстроилась, штаны короткие. Не знаю даже на какого лилипута сшиты",neutral
после первой стирки футболку пришлось выкинуть(,neutral
"тоненькая, но теплая и ооочень мягкая и приятная водолазка. но короткие рукава. на мне как 3/4. Длина самого изделия норм",positive
"Размер М оказался мал и коротковат. Хотя, подруга заказала такую же рубашку размера xs, мне идеально села. На фото Ее рубашка, не моя ",negative
"Это самый ужасный мой заказ, думала если будет платная доставка, то будет все очень быстро, но это не так, вместо двух недель полтора месяца!Не отслеживался пока не открыла спор, но как только увидела где товар сразу его закрыла, очень не хочется портить отношения. Теперь о товаре: описанию не соответствует и размеру тоже. Заказывала на два размера больше, но в итоге все равно в облипку, но прошито хорошо, без запаха и ткань приятная. Рукава совсем не такие как на картинке... В общем если хотите как на картине надо брать на четыре-пять размеров больше!!!",negative
очень сильно маломерит,negative
"Не особо обрадовалась товару, не то, что ожидала. Думала будет чуть толще, плотнее и подлинее. Вязка крупная, кусочки ниток выпадают. Топорная работа я вам так скажу. Низ спереди отвисает. В общем только по дому в нем ходить. Единственное, продавец мололец! быстрая отправка и доставка!",neutral
"заказала 2 юбки,чёрная по размеру подошла,а серая большемерит",positive
хорошие,positive
"Доставка до Москвы 15 дней, курьером до двери. Красивое боди, приятная ткань, немного свободное, можно было бы и М взять, М брала в этом магазине полосатое боди, сильно сдавило, и в этот раз взяла L, но у этого ткань тоньше, поэтому и М село бы хорошо, думаю. Ткань чуть прохладная. Следов вышивки с обратной стороны нет, только узелки тонкой лески, ничего не трет. Единственный момент - сзади трусы довольно узковатые, т.е. добрая часть ягодиц снаружи, но это на любителя. В целом довольна, продавец хороший, продает качественные вещи. Возможно еще буду заказывать.",positive
Из шва торчащие нитки,positive
"Лосины супер. Не столь толстые как я ожидала, но довольно теплые. Девочки!!! наконец-то появились лосины на длинноногих! Что не куплю , то коротки. Эти- и на более высоких подайдут( у меня рост 173). Очень приятные.",positive
"Все норм, ещё даже не мерила ",negative
"Посылка дошла за месяц. Трек отслеживался на всём пути. Толстовка выглядит хорошо но,в описании продавца написано что материал хлопок а на самом деле 100 процентная синтетика. Если бы знал то не взял бы.",negative
Доставка за 9 дней !!! Это что то ! Очень приятная и тёплая кофта !!! На параметры 83 нг 93 сел хорошо !!! Белоснежная прибелоснежная !!! Спасибо продавцу!!!,positive
"Шорты пришли в течение месяца. Качество хорошее!!  Нитки не торчат,  село хорошо.  Спасибо продавцу!!!  Рекомендую!!!",positive
"ну не айс((( какая зима... максимум на -5. синтепон тонкий, горло широкое. если на карманах расстегнуть молнии, то между улицей и животом остаётся два слоя тоненькой подкладки, что для зимнего пуховика недопустимо. как раз ему и цена 950р. больше он не стоит. хотя цвет мне очень понравился.",neutral
"Полный отстой, не тратьте свои деньги. Никакая не кожа, просто материал  с блеском. Таблица продавца не верна. Фасон Г, эта уёб***я молния только портив весь вид",neutral
"У меня ОТ 84, ОБ 106. Леггинсы маленькие, на размер 44-46, не больше. Мелкие, ниже пупка. Тянутся плохо. В широком поясе нет резинки, если не поставить, будут спадать при ходьбе.
К магазину притензий нет, заказ пришел за 3 недели",neutral
"Чулки плотные, хорошие, теплые, но вверху очень сильно перетягивают ногу, мне пришлось их спустить ниже колена, чтобы не болела нога. Получились просто длинные гольфы. Мне жаль.",neutral
Хорошая рубашка,positive
"11.11 брали по 90руб+доставка 40руб. До мск шло 44 дня. Состав голая синтетика, даже ластовица, 90% Полиамид 10% Эластан. Швы прошиты небольшими шовчиками и в некоторых местах проклеены. Так себе.",neutral
"Покрой хороший и было бы платье норм, если бы не материал - голимая тонкая синтетика. Цвет приятный. Размер 3Х подошёл на 52-54, больше не надо. Отправлено и получено за 30 дней",positive
"Заказ вообще не пришёл ! Пошла навстречу продавцу и отменила первый спор,понадеявшись ,что обещания продавца выполнятся ,но,к сожалению,нет. Потеряла полтора месяца . ",negative
"Платье хорошее, но уж очень длинное) даже на мой рост 169 мне ниже колен)",positive
"Шикарное платье! Заказала размер М на российский 42, село идеально! Цвет морковно-красный) Почему то только в этом цвете вижу это платье) Всем советую! ",positive
"Здравствуйте,Продавцы на Алиэкспресс обманывают покупателей.Берут деньги ,товар не приходит,И деньги никто не собирается возвращать.Хочу предупредить,чтобы не делали здесь свои заказы!!!!Мне не возвращают  мои деньги!!!!!!!",negative
"я заказывала без горла,а мне прислали водоласку",negative
не подошёл по размеру,neutral
Ужасно воняют!!! Даже после стирки,neutral
